Word,Mean Rank,peS2o Rank,peS2o P(w),Gutenberg Rank,Gutenberg P(w),Wikipedia Rank,Wikipedia P(w)
1,142.0,20,0.003923594198103041,291,0.0003164519981674447,115,0.0005900986221072561
them,144.66666666666666,285,0.0003655707429624311,46,0.0025092033604947332,103,0.0006567083360033046
As,145.33333333333334,126,0.0006671019387222838,192,0.0005023106995962547,118,0.0005747068228551733
years,145.66666666666666,219,0.0004529429510247922,161,0.000611882237040075,57,0.0010172776760501788
new,149.33333333333334,180,0.000525559517274297,203,0.0004724346555565759,65,0.0009223497757425551
work,153.0,188,0.0004981533897150444,164,0.0005940315881929161,107,0.0006371418760539503
many,156.33333333333334,245,0.00041624059420822447,123,0.0008158001383905866,101,0.0006743596747359838
being,163.33333333333334,284,0.0003658495783944989,119,0.000855525337708976,87,0.0007512392796677645
during,163.66666666666666,102,0.000775296259842784,329,0.00028085781129691016,60,0.0009747710138577584
For,169.66666666666666,79,0.0010044712043505975,204,0.000467316018307072,226,0.00035479868014017684
before,174.33333333333334,330,0.0003270317763811365,94,0.0011204315120580384,99,0.0006805510308497988
2,176.66666666666666,23,0.003588544102452147,349,0.00026879083190221566,158,0.00046854777375827396
use,179.33333333333334,85,0.0009152953117405802,299,0.0003110844857685619,154,0.0004911493953351123
those,179.33333333333334,169,0.0005441005301372542,112,0.0008859369358675713,257,0.0003288696278779957
very,182.33333333333334,225,0.0004408954083160038,69,0.001511627333252489,253,0.0003299787714397767
number,188.66666666666666,81,0.0009708339794607083,371,0.00025357290409728367,114,0.000590346136249464
made,190.0,419,0.0002568588785861003,85,0.0012299721763820626,66,0.0008794889659567239
did,190.66666666666666,298,0.00035226792635282097,89,0.001147526455061367,185,0.0004218450463437054
we,191.0,24,0.0035410762285664824,45,0.0025119312211510265,504,0.0001936623034846436
part,193.33333333333334,323,0.0003314067145994103,174,0.0005433741541482661,83,0.000783186505978851
because,199.66666666666666,184,0.0005076060137534455,207,0.00045716978800828005,208,0.00038215132789323324
set,209.0,137,0.0006240419282719639,265,0.000357499071064054,225,0.00035536375959691573
high,216.33333333333334,95,0.0008212156196130905,325,0.00028448319765014075,229,0.0003528539817618543
There,217.0,332,0.0003249214757495091,142,0.0006995659926756094,177,0.000440139299169038
large,230.33333333333334,196,0.0004901474174016886,257,0.00036660160089462793,238,0.0003414940166501401
against,231.0,431,0.00025089221190506317,167,0.000570834849111631,95,0.0007086263731973209
small,236.66666666666666,220,0.00045018546409511816,243,0.00039360801995241775,247,0.00033559259455510644
following,237.66666666666666,142,0.0006098007429758378,437,0.0002146368595247097,134,0.0005336397122539906
do,237.66666666666666,299,0.00035219796026654564,71,0.0014742538465798128,343,0.00026565856335915175
within,239.0,158,0.0005616579021402233,344,0.00027289223135761265,215,0.00037589420151207053
3,240.33333333333334,43,0.001713908798747645,477,0.0001959806742763333,201,0.00038757251028467474
known,243.66666666666666,340,0.00031583102909888604,310,0.00030024928084737557,81,0.000806138772590484
different,244.33333333333334,62,0.001203218103719885,401,0.0002350165839404935,270,0.0003195146829874379
people,246.66666666666666,479,0.00023094364601233193,152,0.0006574708088650969,109,0.0006136615014376379
given,249.0,152,0.0005885423707915115,254,0.000370145709034517,341,0.0002667054392122011
since,251.33333333333334,320,0.00033209711524486227,286,0.00031945110123337753,148,0.0005034643914294967
order,253.33333333333334,150,0.0005907514470743511,294,0.0003138690521550935,316,0.00028136520371350836
On,254.0,454,0.00024312083176333636,256,0.0003670445356541554,52,0.0010691260512450517
state,254.0,209,0.0004678930574009725,394,0.00023871537271119914,159,0.00046830181630878425
should,254.33333333333334,173,0.0005400990873501265,92,0.0011353545700657317,498,0.00019583855990481166
without,255.33333333333334,244,0.00041664701485644135,137,0.0007400932630450349,385,0.0002406701426719968
several,261.6666666666667,286,0.0003646961668839897,362,0.0002589690843931202,137,0.0005311964830326361
second,263.6666666666667,310,0.0003412883953727645,379,0.00024662456195209307,102,0.0006691949574698804
even,264.3333333333333,301,0.00034761826835461317,136,0.0007406020394580057,356,0.0002560452074773579
like,269.0,490,0.00022619109671077813,86,0.0012269944954808863,231,0.00034913698872375966
water,271.0,246,0.00041589487942898177,232,0.00041631393943530746,335,0.000271097258543674
among,271.3333333333333,243,0.00041679826507236,239,0.00040171189886712956,332,0.0002758132591337306
now,275.3333333333333,558,0.0002024911138980501,81,0.001287234882903962,187,0.0004210013188903928
form,277.3333333333333,221,0.0004489950117154044,326,0.00028415493447842834,285,0.0003037150302431634
still,281.3333333333333,422,0.00025651419271989105,155,0.0006530732794851224,267,0.0003231569547750546
four,283.3333333333333,369,0.0002875287182874894,328,0.00028094097970125955,153,0.000492518895754027
At,283.6666666666667,475,0.00023350152381351462,215,0.00044436090864296874,161,0.00046401663042851417
much,291.0,450,0.00024413019544916107,102,0.0010286186341656573,321,0.0002801825064207883
life,293.0,629,0.00018732184904574268,126,0.0008040724482818176,124,0.0005643026670724886
see,293.0,165,0.0005507390770291411,98,0.0010587511141187467,616,0.00016396605484420308
case,293.6666666666667,108,0.0007482975818447818,305,0.00030490009582241406,468,0.00020598547221579907
4,298.3333333333333,68,0.0011431542764785978,587,0.0001569753227001348,240,0.00034078377559742075
way,298.3333333333333,427,0.0002534634655756808,114,0.0008637101798051946,354,0.00025709597506220295
how,302.6666666666667,277,0.000372104340724905,146,0.0006804120571284753,485,0.0002001077896847193
his,303.0,881,0.00013633920823777736,10,0.008131393795150753,18,0.004544464727696529
They,306.3333333333333,649,0.00018070079367542467,127,0.0007875855722468879,143,0.0005172936603655968
These,307.0,154,0.0005772109515540116,430,0.00021644136187362392,337,0.00026991806380957005
When,309.6666666666667,478,0.00023155482035420744,176,0.0005390125383974425,275,0.0003139958181279237
day,311.0,576,0.0001983991267639779,118,0.0008574681390333045,239,0.00034084448661343404
After,312.6666666666667,416,0.0002572210559738784,425,0.00021917205781642917,97,0.0006899908154935035
what,316.0,580,0.00019729201633997444,67,0.001519931257382208,301,0.0002909555983777075
show,317.0,203,0.00047673553601053164,476,0.00019664003590627,272,0.00031696715535395786
present,325.0,161,0.0005553228845932074,268,0.00034832723422985556,546,0.0001790449588599097
left,325.6666666666667,584,0.00019617050113350255,172,0.0005533502672563433,221,0.0003649942390986108
make,326.6666666666667,537,0.000208633724707809,130,0.0007697289377948705,313,0.0002831032511334781
power,327.0,337,0.0003205578555746033,274,0.00033377874907356936,370,0.0002469046970087443
system,330.6666666666667,83,0.0009281958233541073,712,0.00012397888833818034,197,0.0003958000204740118
To,332.0,132,0.0006472572930459321,208,0.00045700786164526647,656,0.00015495280400530965
age,332.3333333333333,265,0.0003865348460191878,512,0.0001801796225454516,220,0.0003658352423396664
end,333.3333333333333,583,0.00019649872439117644,244,0.00039001476684632217,173,0.00044367921841042727
5,334.0,77,0.0010229823787355843,656,0.0001371185511298813,269,0.0003213714282271771
along,335.3333333333333,477,0.00023221538252168905,323,0.0002865636678862143,206,0.0003842980071517538
days,338.3333333333333,394,0.0002734727373373862,220,0.0004344745796077687,401,0.00023065126833708862
line,344.6666666666667,359,0.00029847738187654206,427,0.0002173634600536644,248,0.0003355715792034096
however,344.6666666666667,420,0.00025682080880386226,241,0.00039719024694430036,373,0.0002442201804160549
long,345.3333333333333,623,0.00018753792078276938,121,0.0008241384009902832,292,0.0002956377409011413
general,347.0,312,0.00034030269668670936,367,0.0002555431131912274,362,0.00025251618508499664
another,347.3333333333333,612,0.00018992705684646455,169,0.000558818904874151,261,0.0003252215184926854
often,356.0,481,0.00023030366210551953,313,0.00029854464359004755,274,0.00031679475163540736
early,356.6666666666667,476,0.00023234605447693853,450,0.00020790714947277087,144,0.0005143596837648015
point,357.3333333333333,262,0.00040041796957966967,352,0.00026748187462921657,458,0.00021112878495702602
family,359.3333333333333,540,0.00020717781276546245,416,0.0002257549630334179,122,0.0005661804276639248
last,366.0,694,0.00016855035966329023,150,0.0006615608671744462,254,0.0003297709529618851
children,368.0,473,0.00023390074207049727,332,0.0002795800421755421,299,0.00029106378852162857
less,368.3333333333333,264,0.0003884661157829931,272,0.000337241579000117,569,0.0001743429685043177
around,372.3333333333333,527,0.00021209395923933648,399,0.00023566428939254792,191,0.00041212388949117003
All,385.3333333333333,346,0.0003090052200349094,336,0.000278613524506815,474,0.0002040127533685473
times,386.0,414,0.00025821087031206735,345,0.00027256050283571906,399,0.00023422193225966408
10,386.3333333333333,74,0.0010474026006717348,878,0.00010182868501162525,207,0.00038403064517738764
does,388.0,331,0.0003257075653070729,273,0.0003365727664151406,560,0.00017632463833469963
year,389.0,775,0.00015421554328111923,298,0.0003114952872809544,94,0.000713412035786521
further,389.0,205,0.00047472195320404954,525,0.00017518825815714906,437,0.00021736839854510798
every,390.3333333333333,543,0.00020679608603004862,141,0.0007276450951304057,487,0.0001992788508122304
